Ma_Don;Ngay_Dat;So_Dien_Thoai;Tinh_Thanh;Phuong_Xa;Dia_Chi_Cu_The;Ma_San_Pham;Ten_San_Pham;Nhom_Hang;So_Luong; Don_Gia ;Ty_Le_Giam_Gia; Tien_Giam ; Tong_Hang ; Phi_Van_Chuyen ; Tong_Thanh_Toan ;Don_Vi_Giao;Phuong_Thuc_Thanh_Toan;Kenh_Ban;Trang_Thai;Ngay_Giao_Du_Kien;So_Lan_Khach_Quay_Lai;Thuong_Hieu;Danh_Muc
DH2021008308;21/07/2021;771235506;Vĩnh Long;Xã Trà Ôn;88 Lý Thường Kiệt;SP024;Samsung Galaxy Watch6;Đồ điện tử;2; 5,490,000 ₫ ;0; - ₫ ; 10,980,000 ₫ ;40,00 ₫; 12,118,000 ₫ ;Viettel Post;Thẻ ngân hàng;Cửa hàng;Đã xác nhận;24/07/2021;20;Samsung;Đồng hồ thông minh
DH2021001435;22/07/2021;967250448;Vĩnh Long;Phường Vĩnh Long;406 Hai Bà Trưng;SP023;Apple Watch SE;Đồ điện tử;1; 5,990,000 ₫ ;0; - ₫ ; 5,990,000 ₫ ;30,00 ₫; 6,619,000 ₫ ;Giao Hàng Nhanh;Chuyển khoản;Facebook;Đang giao;27/07/2021;20;Apple;Đồng hồ thông minh
DH2021005891;22/07/2021;967250448;TP. Hồ Chí Minh;Phường Sài Gòn;158 Trần Hưng Đạo;SP007;MacBook Air M2;Đồ điện tử;3; 23,990,000 ₫ ;0.2; 14,394,000 ₫ ; 71,970,000 ₫ ;40,00 ₫; 63,374,000 ₫ ;VNPost;Ví điện tử;TikTok Shop;Đã giao;26/07/2021;20;Apple;Laptop
DH2021006605;22/07/2021;771235506;TP. Hồ Chí Minh;Phường Tân Định;190 Nguyễn Huệ;SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;1; 1,590,000 ₫ ;0; - ₫ ; 1,590,000 ₫ ;45,00 ₫; 1,794,000 ₫ ;J&T Express;Thẻ ngân hàng;Zalo;Đang giao;25/07/2021;20;Samsung;Tai nghe
DH2021008510;22/07/2021;705762159;Vĩnh Long;Xã Trà Ôn;355 Quang Trung;SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;3; 1,190,000 ₫ ;0.2;714,00 ₫; 3,570,000 ₫ ;28,00 ₫; 3,170,000 ₫ ;J&T Express;Chuyển khoản;Website;Đã giao;24/07/2021;20;JBL;Loa
DH2021008788;22/07/2021;859022724;An Giang;Phường Long Xuyên;76 Quang Trung;SP024;Samsung Galaxy Watch6;Đồ điện tử;2; 5,490,000 ₫ ;0; - ₫ ; 10,980,000 ₫ ;45,00 ₫; 12,123,000 ₫ ;Ninja Van;COD;Zalo;Đã giao;26/07/2021;1;Samsung;Đồng hồ thông minh
DH2021001792;23/07/2021;853807152;TP. Hồ Chí Minh;Phường Chợ Lớn;104 Nguyễn Huệ;SP009;Laptop HP Pavilion 14;Đồ điện tử;2; 15,990,000 ₫ ;0; - ₫ ; 31,980,000 ₫ ;22,00 ₫; 35,200,000 ₫ ;Viettel Post;Ví điện tử;TikTok Shop;Đang giao;28/07/2021;20;HP;Laptop
DH2021002596;23/07/2021;372965806;Vĩnh Long;Phường Vĩnh Long;35 Pasteur;SP003;iPhone 15;Đồ điện tử;4; 19,990,000 ₫ ;0.03; 2,399,000 ₫ ; 79,960,000 ₫ ;25,00 ₫; 85,342,000 ₫ ;Giao Hàng Nhanh;COD;Facebook;Đã giao;29/07/2021;1;Apple;Điện thoại
DH2021006964;23/07/2021;853807152;Đồng Nai;Xã Long Thành;467 Nam Kỳ Khởi Nghĩa;SP017;Màn hình Dell 24 inch;Đồ điện tử;2; 3,290,000 ₫ ;0.12;790,00 ₫; 6,580,000 ₫ ;30,00 ₫; 6,399,000 ₫ ;Giao Hàng Nhanh;Chuyển khoản;Facebook;Đã giao;26/07/2021;20;Dell;Màn hình
DH2021007116;23/07/2021;853807152;TP. Hồ Chí Minh;Phường Tân Bình;557 Võ Văn Kiệt;SP022;Cáp sạc Type-C Anker;Đồ điện tử;1;190,00 ₫;0.1;19,00 ₫;190,00 ₫;45,00 ₫;233,00 ₫;J&T Express;Chuyển khoản;Website;Đã giao;27/07/2021;20;Anker;Phụ kiện
DH2021007280;23/07/2021;705762159;Đồng Tháp;Phường Cao Lãnh;447 Nguyễn Văn Cừ;SP010;Laptop Asus Vivobook 15;Đồ điện tử;1; 12,990,000 ₫ ;0.05;650,00 ₫; 12,990,000 ₫ ;45,00 ₫; 13,619,000 ₫ ;Ninja Van;COD;Zalo;Đã giao;28/07/2021;20;Asus;Laptop
DH2021004082;24/07/2021;967250448;Vĩnh Long;Xã Trà Ôn;420 Nguyễn Văn Cừ;SP006;Xiaomi Pad 6;Đồ điện tử;5; 7,990,000 ₫ ;0; - ₫ ; 39,950,000 ₫ ;22,00 ₫; 43,967,000 ₫ ;Ninja Van;COD;Website;Đã giao;28/07/2021;20;Xiaomi;Máy tính bảng
DH2021004642;24/07/2021;859399016;Đồng Nai;Phường Long Khánh;442 Trần Hưng Đạo;SP006;Xiaomi Pad 6;Đồ điện tử;1; 7,990,000 ₫ ;0; - ₫ ; 7,990,000 ₫ ;25,00 ₫; 8,814,000 ₫ ;J&T Express;Thẻ ngân hàng;Cửa hàng;Đã giao;27/07/2021;3;Xiaomi;Máy tính bảng
DH2021008076;24/07/2021;931085451;Đồng Nai;Phường Biên Hòa;51 Nguyễn Trãi;SP018;Chuột Logitech M331;Đồ điện tử;3;390,00 ₫;0.1;117,00 ₫; 1,170,000 ₫ ;35,00 ₫; 1,193,000 ₫ ;Giao Hàng Nhanh;Thẻ ngân hàng;Zalo;Hủy đơn;26/07/2021;20;Logitech;Phụ kiện
DH2021000559;25/07/2021;853807152;An Giang;Phường Châu Đốc;144 Quang Trung;SP010;Laptop Asus Vivobook 15;Đồ điện tử;2; 12,990,000 ₫ ;0.05; 1,299,000 ₫ ; 25,980,000 ₫ ;25,00 ₫; 27,174,000 ₫ ;Giao Hàng Nhanh;Chuyển khoản;Facebook;Đã giao;27/07/2021;20;Asus;Laptop
DH2021004673;25/07/2021;967250448;An Giang;Phường Châu Đốc;579 Trần Hưng Đạo;SP025;Máy in Canon LBP 2900;Đồ điện tử;1; 4,290,000 ₫ ;0.15;644,00 ₫; 4,290,000 ₫ ;45,00 ₫; 4,056,000 ₫ ;VNPost;COD;Facebook;Đã giao;30/07/2021;20;Canon;Máy in
DH2021005211;25/07/2021;853807152;An Giang;Phường Châu Đốc;167 Quang Trung;SP022;Cáp sạc Type-C Anker;Đồ điện tử;2;190,00 ₫;0.12;46,00 ₫;380,00 ₫;30,00 ₫;397,00 ₫;Giao Hàng Tiết Kiệm;Ví điện tử;Cửa hàng;Hoàn hàng;27/07/2021;20;Anker;Phụ kiện
DH2021007246;25/07/2021;931085451;Đồng Nai;Xã Long Thành;121 Phạm Văn Đồng;SP023;Apple Watch SE;Đồ điện tử;1; 5,990,000 ₫ ;0; - ₫ ; 5,990,000 ₫ ;30,00 ₫; 6,619,000 ₫ ;Ninja Van;Thẻ ngân hàng;Facebook;Hoàn hàng;29/07/2021;20;Apple;Đồng hồ thông minh
DH2021009158;26/07/2021;841138346;Cà Mau;Xã Đầm Dơi;412 3 Tháng 2;SP017;Màn hình Dell 24 inch;Đồ điện tử;4; 3,290,000 ₫ ;0; - ₫ ; 13,160,000 ₫ ;45,00 ₫; 14,521,000 ₫ ;Giao Hàng Tiết Kiệm;COD;Cửa hàng;Đã xác nhận;01/08/2021;7;Dell;Màn hình
DH2021000738;27/07/2021;853807152;Đồng Nai;Phường Biên Hòa;168 Trần Hưng Đạo;SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;1; 1,190,000 ₫ ;0; - ₫ ; 1,190,000 ₫ ;25,00 ₫; 1,334,000 ₫ ;VNPost;Thẻ ngân hàng;Cửa hàng;Đã giao;31/07/2021;20;JBL;Loa
DH2021001918;27/07/2021;853807152;TP. Hồ Chí Minh;Phường Tân Bình;37 3 Tháng 2;SP006;Xiaomi Pad 6;Đồ điện tử;1; 7,990,000 ₫ ;0.07;559,00 ₫; 7,990,000 ₫ ;25,00 ₫; 8,199,000 ₫ ;Giao Hàng Nhanh;Thẻ ngân hàng;Cửa hàng;Đã giao;02/08/2021;20;Xiaomi;Máy tính bảng
DH2021008705;27/07/2021;368795236;Vĩnh Long;Xã Trà Ôn;383 Điện Biên Phủ;SP018;Chuột Logitech M331;Đồ điện tử;4;390,00 ₫;0.07;109,00 ₫; 1,560,000 ₫ ;40,00 ₫; 1,636,000 ₫ ;J&T Express;Chuyển khoản;Facebook;Đã xác nhận;02/08/2021;2;Logitech;Phụ kiện
DH2021008746;27/07/2021;790841634;Đồng Tháp;Phường Cao Lãnh;152 Nam Kỳ Khởi Nghĩa;SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;2; 1,190,000 ₫ ;0.05;119,00 ₫; 2,380,000 ₫ ;18,00 ₫; 2,505,000 ₫ ;Giao Hàng Nhanh;Ví điện tử;Zalo;Đã giao;29/07/2021;2;JBL;Loa
DH2021008799;27/07/2021;358998449;TP. Hồ Chí Minh;Phường Sài Gòn;49 Nguyễn Trãi;SP003;iPhone 15;Đồ điện tử;1; 19,990,000 ₫ ;0; - ₫ ; 19,990,000 ₫ ;35,00 ₫; 22,024,000 ₫ ;Ninja Van;Chuyển khoản;Zalo;Đã giao;29/07/2021;20;Apple;Điện thoại
DH2021009777;27/07/2021;341831931;TP. Hồ Chí Minh;Phường Bến Thành;173 Cách Mạng Tháng Tám;SP011;Tai nghe AirPods 3;Đồ điện tử;2; 3,990,000 ₫ ;0.1;798,00 ₫; 7,980,000 ₫ ;18,00 ₫; 7,918,000 ₫ ;J&T Express;COD;Shopee;Đã giao;01/08/2021;8;Apple;Tai nghe
DH2021001213;28/07/2021;933464208;TP. Hồ Chí Minh;Phường Tân Bình;71 Hai Bà Trưng;SP024;Samsung Galaxy Watch6;Đồ điện tử;3; 5,490,000 ₫ ;0; - ₫ ; 16,470,000 ₫ ;45,00 ₫; 18,162,000 ₫ ;J&T Express;Ví điện tử;Facebook;Đã giao;30/07/2021;20;Samsung;Đồng hồ thông minh
DH2021003219;28/07/2021;769264412;Vĩnh Long;Xã Long Hồ;280 Nguyễn Trãi;SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;2; 1,190,000 ₫ ;0; - ₫ ; 2,380,000 ₫ ;22,00 ₫; 2,640,000 ₫ ;Giao Hàng Tiết Kiệm;Chuyển khoản;TikTok Shop;Đã giao;30/07/2021;20;Kingston;Linh kiện
DH2021004745;28/07/2021;383858544;Cần Thơ;Phường Ô Môn;557 Trần Hưng Đạo;SP003;iPhone 15;Đồ điện tử;2; 19,990,000 ₫ ;0; - ₫ ; 39,980,000 ₫ ;40,00 ₫; 44,018,000 ₫ ;Ninja Van;Thẻ ngân hàng;Shopee;Đã giao;03/08/2021;20;Apple;Điện thoại
DH2021008501;28/07/2021;373648652;TP. Hồ Chí Minh;Phường Bình Thạnh;226 Pasteur;SP026;Camera Xiaomi C300;Đồ điện tử;1;990,00 ₫;0; - ₫ ;990,00 ₫;25,00 ₫; 1,114,000 ₫ ;Viettel Post;COD;Cửa hàng;Đã giao;01/08/2021;20;Xiaomi;Camera
DH2021008974;28/07/2021;782092292;Đồng Tháp;Phường Sa Đéc;380 Trần Hưng Đạo;SP025;Máy in Canon LBP 2900;Đồ điện tử;1; 4,290,000 ₫ ;0.15;644,00 ₫; 4,290,000 ₫ ;40,00 ₫; 4,051,000 ₫ ;Giao Hàng Tiết Kiệm;Chuyển khoản;Cửa hàng;Đã giao;01/08/2021;20;Canon;Máy in
DH2021006544;29/07/2021;760351162;TP. Hồ Chí Minh;Phường Chợ Lớn;474 Trần Hưng Đạo;SP025;Máy in Canon LBP 2900;Đồ điện tử;2; 4,290,000 ₫ ;0.05;429,00 ₫; 8,580,000 ₫ ;28,00 ₫; 8,994,000 ₫ ;Ninja Van;Ví điện tử;Zalo;Đã giao;01/08/2021;20;Canon;Máy in
DH2021006992;29/07/2021;834156317;An Giang;Xã Chợ Mới;55 Điện Biên Phủ;SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;2;990,00 ₫;0; - ₫ ; 1,980,000 ₫ ;18,00 ₫; 2,196,000 ₫ ;Viettel Post;Chuyển khoản;Facebook;Đang giao;01/08/2021;2;Xiaomi;Tai nghe
DH2021007073;29/07/2021;931085451;TP. Hồ Chí Minh;Phường Bình Thạnh;282 Pasteur;SP005;Xiaomi Redmi Note 13;Đồ điện tử;1; 4,990,000 ₫ ;0.15;748,00 ₫; 4,990,000 ₫ ;18,00 ₫; 4,684,000 ₫ ;Giao Hàng Nhanh;Chuyển khoản;Zalo;Đã giao;02/08/2021;20;Xiaomi;Điện thoại
DH2021007725;29/07/2021;853807152;TP. Hồ Chí Minh;Phường Chợ Lớn;169 Nguyễn Trãi;SP025;Máy in Canon LBP 2900;Đồ điện tử;2; 4,290,000 ₫ ;0; - ₫ ; 8,580,000 ₫ ;45,00 ₫; 9,483,000 ₫ ;Ninja Van;Thẻ ngân hàng;TikTok Shop;Đã giao;01/08/2021;20;Canon;Máy in
DH2021009199;29/07/2021;853807152;An Giang;Phường Châu Đốc;347 Võ Văn Kiệt;SP010;Laptop Asus Vivobook 15;Đồ điện tử;1; 12,990,000 ₫ ;0.15; 1,948,000 ₫ ; 12,990,000 ₫ ;18,00 ₫; 12,164,000 ₫ ;VNPost;COD;Cửa hàng;Đã xác nhận;31/07/2021;20;Asus;Laptop
DH2021002791;30/07/2021;351739198;TP. Hồ Chí Minh;Phường Sài Gòn;118 Nam Kỳ Khởi Nghĩa;SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1; 1,190,000 ₫ ;0; - ₫ ; 1,190,000 ₫ ;18,00 ₫; 1,327,000 ₫ ;Giao Hàng Tiết Kiệm;Ví điện tử;Zalo;Đã xác nhận;04/08/2021;2;Kingston;Linh kiện
DH2021002796;30/07/2021;701939481;TP. Hồ Chí Minh;Phường An Khánh;74 Võ Văn Kiệt;SP017;Màn hình Dell 24 inch;Đồ điện tử;3; 3,290,000 ₫ ;0.12; 1,184,000 ₫ ; 9,870,000 ₫ ;30,00 ₫; 9,585,000 ₫ ;Ninja Van;Thẻ ngân hàng;Cửa hàng;Đã giao;04/08/2021;18;Dell;Màn hình
DH2021004495;30/07/2021;332807501;Cần Thơ;Phường Cái Răng;530 Võ Văn Kiệt;SP022;Cáp sạc Type-C Anker;Đồ điện tử;1;190,00 ₫;0.03;6,00 ₫;190,00 ₫;40,00 ₫;242,00 ₫;VNPost;Ví điện tử;TikTok Shop;Đã xác nhận;04/08/2021;7;Anker;Phụ kiện
DH2021005466;30/07/2021;334441342;Đồng Nai;Phường Long Khánh;240 Hai Bà Trưng;SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1; 1,190,000 ₫ ;0.12;143,00 ₫; 1,190,000 ₫ ;28,00 ₫; 1,180,000 ₫ ;J&T Express;Ví điện tử;Facebook;Đã giao;04/08/2021;20;Kingston;Linh kiện
DH2021005826;30/07/2021;341806456;Tây Ninh;Xã Gò Dầu;11 Trần Hưng Đạo;SP011;Tai nghe AirPods 3;Đồ điện tử;1; 3,990,000 ₫ ;0.07;279,00 ₫; 3,990,000 ₫ ;22,00 ₫; 4,104,000 ₫ ;J&T Express;COD;Zalo;Đang giao;05/08/2021;20;Apple;Tai nghe
DH2021006258;31/07/2021;342092986;Tây Ninh;Xã Châu Thành;163 Điện Biên Phủ;SP019;Bàn phím Logitech K380;Đồ điện tử;8;690,00 ₫;0; - ₫ ; 5,520,000 ₫ ;45,00 ₫; 6,117,000 ₫ ;Ninja Van;COD;TikTok Shop;Đang giao;06/08/2021;1;Logitech;Phụ kiện
DH2021007060;31/07/2021;853807152;An Giang;Xã Tịnh Biên;595 Lê Lợi;SP018;Chuột Logitech M331;Đồ điện tử;1;390,00 ₫;0.15;58,00 ₫;390,00 ₫;22,00 ₫;387,00 ₫;Giao Hàng Nhanh;COD;Cửa hàng;Đã giao;06/08/2021;20;Logitech;Phụ kiện
DH2021005621;01/08/2021;358998449;An Giang;Xã Tịnh Biên;167 Hai Bà Trưng;SP010;Laptop Asus Vivobook 15;Đồ điện tử;2; 12,990,000 ₫ ;0.2; 5,196,000 ₫ ; 25,980,000 ₫ ;30,00 ₫; 22,892,000 ₫ ;Giao Hàng Nhanh;Thẻ ngân hàng;Shopee;Hủy đơn;03/08/2021;20;Asus;Laptop
DH2021005907;01/08/2021;771235506;Vĩnh Long;Xã Mang Thít;198 Quang Trung;SP022;Cáp sạc Type-C Anker;Đồ điện tử;4;190,00 ₫;0; - ₫ ;760,00 ₫;22,00 ₫;858,00 ₫;Ninja Van;COD;Facebook;Đã giao;06/08/2021;20;Anker;Phụ kiện
DH2021003291;02/08/2021;356833542;Cà Mau;Xã U Minh;598 Trần Hưng Đạo;SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;1; 1,190,000 ₫ ;0.2;238,00 ₫; 1,190,000 ₫ ;22,00 ₫; 1,069,000 ₫ ;Giao Hàng Tiết Kiệm;Ví điện tử;Facebook;Hủy đơn;08/08/2021;12;JBL;Loa
DH2021006131;02/08/2021;853050012;An Giang;Xã Tri Tôn;43 Nam Kỳ Khởi Nghĩa;SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;1; 1,190,000 ₫ ;0; - ₫ ; 1,190,000 ₫ ;28,00 ₫; 1,337,000 ₫ ;VNPost;Ví điện tử;TikTok Shop;Đã giao;07/08/2021;20;JBL;Loa
DH2021002815;03/08/2021;771235506;TP. Hồ Chí Minh;Phường Chợ Lớn;587 Hai Bà Trưng;SP005;Xiaomi Redmi Note 13;Đồ điện tử;2; 4,990,000 ₫ ;0.2; 1,996,000 ₫ ; 9,980,000 ₫ ;18,00 ₫; 8,800,000 ₫ ;Viettel Post;Thẻ ngân hàng;Website;Hoàn hàng;07/08/2021;20;Xiaomi;Điện thoại
DH2021008251;03/08/2021;334488013;An Giang;Phường Châu Đốc;319 Võ Văn Kiệt;SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;2; 1,590,000 ₫ ;0; - ₫ ; 3,180,000 ₫ ;18,00 ₫; 3,516,000 ₫ ;Giao Hàng Tiết Kiệm;Thẻ ngân hàng;Cửa hàng;Hủy đơn;06/08/2021;2;Samsung;Tai nghe
DH2021008513;03/08/2021;976009674;TP. Hồ Chí Minh;Phường An Khánh;95 Nguyễn Văn Cừ;SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;5; 1,190,000 ₫ ;0.15;892,00 ₫; 5,950,000 ₫ ;30,00 ₫; 5,594,000 ₫ ;Viettel Post;Chuyển khoản;Facebook;Đã giao;08/08/2021;3;Kingston;Linh kiện
DH2021004884;04/08/2021;853807152;TP. Hồ Chí Minh;Phường Chợ Lớn;30 Nguyễn Trãi;SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1; 1,190,000 ₫ ;0.15;178,00 ₫; 1,190,000 ₫ ;28,00 ₫; 1,141,000 ₫ ;Ninja Van;Chuyển khoản;Cửa hàng;Đã giao;10/08/2021;20;Kingston;Linh kiện
DH2021007516;04/08/2021;885212220;TP. Hồ Chí Minh;Phường Tân Định;535 Lê Lợi;SP023;Apple Watch SE;Đồ điện tử;1; 5,990,000 ₫ ;0.1;599,00 ₫; 5,990,000 ₫ ;45,00 ₫; 5,975,000 ₫ ;J&T Express;COD;Shopee;Đã giao;08/08/2021;20;Apple;Đồng hồ thông minh
DH2021004270;05/08/2021;852363433;Tây Ninh;Xã Châu Thành;298 Phạm Văn Đồng;SP018;Chuột Logitech M331;Đồ điện tử;2;390,00 ₫;0; - ₫ ;780,00 ₫;22,00 ₫;880,00 ₫;Giao Hàng Nhanh;Ví điện tử;Shopee;Đã giao;08/08/2021;1;Logitech;Phụ kiện
DH2021005385;05/08/2021;978379253;TP. Hồ Chí Minh;Phường Tân Bình;239 Điện Biên Phủ;SP015;Smart TV Samsung 43 inch;Đồ điện tử;1; 7,990,000 ₫ ;0.2; 1,598,000 ₫ ; 7,990,000 ₫ ;28,00 ₫; 7,059,000 ₫ ;Ninja Van;COD;Zalo;Đã giao;09/08/2021;11;Samsung;Tivi
DH2021002588;06/08/2021;967250448;An Giang;Xã Chợ Mới;37 Trần Hưng Đạo;SP023;Apple Watch SE;Đồ điện tử;1; 5,990,000 ₫ ;0.07;419,00 ₫; 5,990,000 ₫ ;35,00 ₫; 6,163,000 ₫ ;Viettel Post;Ví điện tử;TikTok Shop;Đã giao;10/08/2021;20;Apple;Đồng hồ thông minh
DH2021004588;06/08/2021;382483744;Cần Thơ;Phường Bình Thủy;518 Điện Biên Phủ;SP023;Apple Watch SE;Đồ điện tử;1; 5,990,000 ₫ ;0.07;419,00 ₫; 5,990,000 ₫ ;30,00 ₫; 6,158,000 ₫ ;Giao Hàng Tiết Kiệm;Ví điện tử;Website;Đã giao;10/08/2021;1;Apple;Đồng hồ thông minh
DH2021006450;06/08/2021;358998449;TP. Hồ Chí Minh;Phường Tân Bình;150 Điện Biên Phủ;SP016;Smart TV LG 55 inch;Đồ điện tử;2; 11,990,000 ₫ ;0; - ₫ ; 23,980,000 ₫ ;40,00 ₫; 26,418,000 ₫ ;Giao Hàng Nhanh;Thẻ ngân hàng;Shopee;Đã giao;10/08/2021;20;LG;Tivi
DH2021006627;06/08/2021;963857509;Đồng Nai;Xã Nhơn Trạch;590 Võ Văn Kiệt;SP022;Cáp sạc Type-C Anker;Đồ điện tử;3;190,00 ₫;0.1;57,00 ₫;570,00 ₫;30,00 ₫;594,00 ₫;Giao Hàng Nhanh;Ví điện tử;Website;Đang giao;09/08/2021;20;Anker;Phụ kiện
DH2021007894;06/08/2021;948519803;TP. Hồ Chí Minh;Phường Bến Thành;525 Quang Trung;SP019;Bàn phím Logitech K380;Đồ điện tử;1;690,00 ₫;0; - ₫ ;690,00 ₫;40,00 ₫;799,00 ₫;Ninja Van;Chuyển khoản;Website;Đã giao;11/08/2021;18;Logitech;Phụ kiện
DH2021001334;07/08/2021;373648652;An Giang;Phường Long Xuyên;285 Võ Văn Kiệt;SP021;Sạc nhanh Anker 20W;Đồ điện tử;1;350,00 ₫;0.07;25,00 ₫;350,00 ₫;25,00 ₫;382,00 ₫;Ninja Van;Chuyển khoản;Shopee;Hoàn hàng;11/08/2021;20;Anker;Phụ kiện
DH2021002551;07/08/2021;388119498;TP. Hồ Chí Minh;Phường Tân Bình;534 Cách Mạng Tháng Tám;SP018;Chuột Logitech M331;Đồ điện tử;2;390,00 ₫;0; - ₫ ;780,00 ₫;18,00 ₫;876,00 ₫;Viettel Post;Chuyển khoản;Shopee;Đã giao;13/08/2021;1;Logitech;Phụ kiện
DH2021003111;07/08/2021;931085451;Đồng Tháp;Xã Tháp Mười;320 Hai Bà Trưng;SP026;Camera Xiaomi C300;Đồ điện tử;5;990,00 ₫;0.03;148,00 ₫; 4,950,000 ₫ ;25,00 ₫; 5,307,000 ₫ ;VNPost;COD;Facebook;Đang giao;13/08/2021;20;Xiaomi;Camera
DH2021003190;07/08/2021;912467338;Đồng Nai;Phường Trấn Biên;428 Nguyễn Văn Cừ;SP003;iPhone 15;Đồ điện tử;3; 19,990,000 ₫ ;0.05; 2,998,000 ₫ ; 59,970,000 ₫ ;25,00 ₫; 62,694,000 ₫ ;Giao Hàng Nhanh;Chuyển khoản;Shopee;Đã giao;09/08/2021;1;Apple;Điện thoại
DH2021000985;08/08/2021;323763068;Cà Mau;Xã Ngọc Hiển;258 Điện Biên Phủ;SP019;Bàn phím Logitech K380;Đồ điện tử;4;690,00 ₫;0.2;552,00 ₫; 2,760,000 ₫ ;28,00 ₫; 2,457,000 ₫ ;Giao Hàng Tiết Kiệm;Ví điện tử;Shopee;Đã giao;12/08/2021;4;Logitech;Phụ kiện
DH2021006973;08/08/2021;853807152;An Giang;Xã Chợ Mới;513 Nguyễn Văn Cừ;SP023;Apple Watch SE;Đồ điện tử;1; 5,990,000 ₫ ;0.07;419,00 ₫; 5,990,000 ₫ ;22,00 ₫; 6,150,000 ₫ ;Giao Hàng Tiết Kiệm;Chuyển khoản;Zalo;Đã giao;11/08/2021;20;Apple;Đồng hồ thông minh
DH2021001407;09/08/2021;853807152;Đồng Tháp;Phường Cao Lãnh;23 Lê Lợi;SP015;Smart TV Samsung 43 inch;Đồ điện tử;4; 7,990,000 ₫ ;0.12; 3,835,000 ₫ ; 31,960,000 ₫ ;25,00 ₫; 30,962,000 ₫ ;Giao Hàng Tiết Kiệm;Ví điện tử;Website;Đang giao;11/08/2021;20;Samsung;Tivi
DH2021002205;09/08/2021;330686394;TP. Hồ Chí Minh;Phường Sài Gòn;325 Nam Kỳ Khởi Nghĩa;SP010;Laptop Asus Vivobook 15;Đồ điện tử;2; 12,990,000 ₫ ;0; - ₫ ; 25,980,000 ₫ ;18,00 ₫; 28,596,000 ₫ ;Ninja Van;COD;Zalo;Hoàn hàng;15/08/2021;20;Asus;Laptop
DH2021007277;09/08/2021;969530551;Đồng Nai;Xã Long Thành;487 Quang Trung;SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;6; 1,590,000 ₫ ;0.2; 1,908,000 ₫ ; 9,540,000 ₫ ;18,00 ₫; 8,413,000 ₫ ;Ninja Van;COD;Website;Đã giao;11/08/2021;3;Samsung;Tai nghe
DH2021008849;09/08/2021;967250448;TP. Hồ Chí Minh;Phường Bến Thành;14 Lý Thường Kiệt;SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;1; 1,590,000 ₫ ;0; - ₫ ; 1,590,000 ₫ ;28,00 ₫; 1,777,000 ₫ ;J&T Express;COD;Shopee;Đã xác nhận;13/08/2021;20;Samsung;Tai nghe
DH2021002954;10/08/2021;869071046;TP. Hồ Chí Minh;Phường Bến Thành;439 Lý Thường Kiệt;SP024;Samsung Galaxy Watch6;Đồ điện tử;3; 5,490,000 ₫ ;0; - ₫ ; 16,470,000 ₫ ;28,00 ₫; 18,145,000 ₫ ;VNPost;Ví điện tử;TikTok Shop;Đã xác nhận;15/08/2021;1;Samsung;Đồng hồ thông minh
DH2021005994;10/08/2021;335350525;TP. Hồ Chí Minh;Phường Bến Thành;54 Hai Bà Trưng;SP002;Samsung Galaxy S24;Đồ điện tử;1; 18,990,000 ₫ ;0; - ₫ ; 18,990,000 ₫ ;22,00 ₫; 20,911,000 ₫ ;VNPost;Ví điện tử;Shopee;Hoàn hàng;16/08/2021;20;Samsung;Điện thoại
DH2021006418;10/08/2021;341806456;TP. Hồ Chí Minh;Phường Tân Bình;487 Phạm Văn Đồng;SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;3; 1,190,000 ₫ ;0; - ₫ ; 3,570,000 ₫ ;45,00 ₫; 3,972,000 ₫ ;VNPost;COD;TikTok Shop;Đã giao;14/08/2021;20;JBL;Loa
DH2021007135;10/08/2021;932859222;TP. Hồ Chí Minh;Phường Bình Thạnh;273 3 Tháng 2;SP021;Sạc nhanh Anker 20W;Đồ điện tử;5;350,00 ₫;0; - ₫ ; 1,750,000 ₫ ;40,00 ₫; 1,965,000 ₫ ;Giao Hàng Tiết Kiệm;COD;Zalo;Đã giao;13/08/2021;1;Anker;Phụ kiện
DH2021007940;10/08/2021;853807152;TP. Hồ Chí Minh;Phường Bến Thành;91 Lê Lợi;SP010;Laptop Asus Vivobook 15;Đồ điện tử;2; 12,990,000 ₫ ;0; - ₫ ; 25,980,000 ₫ ;30,00 ₫; 28,608,000 ₫ ;Ninja Van;COD;Cửa hàng;Đã giao;14/08/2021;20;Asus;Laptop
